xPos,yPos
7.225416114969375e-15,118.0
7.286648454926743e-15,119.0
7.34788079488411e-15,120.0
7.409113134841478e-15,121.0
7.470345474798846e-15,122.0
7.531577814756213e-15,123.0
7.59281015471358e-15,124.0
7.654042494670948e-15,125.0
7.715274834628316e-15,126.0
7.776507174585683e-15,127.0
7.837739514543051e-15,128.0
7.898971854500419e-15,129.0
7.960204194457786e-15,130.0
8.021436534415154e-15,131.0
8.082668874372521e-15,132.0
8.143901214329889e-15,133.0
8.205133554287257e-15,134.0
8.266365894244624e-15,135.0
8.327598234201992e-15,136.0
8.38883057415936e-15,137.0
8.450062914116727e-15,138.0
8.511295254074094e-15,139.0
8.572527594031462e-15,140.0
8.63375993398883e-15,141.0
8.694992273946197e-15,142.0
8.756224613903565e-15,143.0
8.817456953860932e-15,144.0
8.8786892938183e-15,145.0
8.939921633775667e-15,146.0
9.001153973733035e-15,147.0
9.062386313690403e-15,148.0
9.12361865364777e-15,149.0
9.184850993605138e-15,150.0
9.246083333562505e-15,151.0
9.307315673519873e-15,152.0
9.36854801347724e-15,153.0
9.429780353434608e-15,154.0
9.491012693391976e-15,155.0
9.552245033349343e-15,156.0
9.61347737330671e-15,157.0
9.674709713264078e-15,158.0
9.735942053221446e-15,159.0
9.797174393178813e-15,160.0
9.858406733136181e-15,161.0
9.919639073093549e-15,162.0
9.980871413050916e-15,163.0
1.0042103753008284e-14,164.0
1.0103336092965651e-14,165.0
1.0164568432923019e-14,166.0
1.0225800772880386e-14,167.0
1.0287033112837754e-14,168.0
1.0348265452795122e-14,169.0
1.0409497792752489e-14,170.0
1.0470730132709857e-14,171.0
1.0531962472667224e-14,172.0
1.0593194812624592e-14,173.0
1.065442715258196e-14,174.0
1.0715659492539327e-14,175.0
1.0776891832496695e-14,176.0
1.0838124172454062e-14,177.0
1.089935651241143e-14,178.0
1.0960588852368797e-14,179.0
1.1021821192326165e-14,180.0
1.1083053532283532e-14,181.0
1.11442858722409e-14,182.0
1.1205518212198268e-14,183.0
1.1266750552155635e-14,184.0
1.1327982892113003e-14,185.0
1.138921523207037e-14,186.0
1.1450447572027738e-14,187.0
1.1511679911985106e-14,188.0
1.1572912251942473e-14,189.0
1.163414459189984e-14,190.0
1.1695376931857208e-14,191.0
1.1756609271814576e-14,192.0
1.1817841611771943e-14,193.0
1.1879073951729311e-14,194.0
1.1940306291686679e-14,195.0
1.2001538631644046e-14,196.0
1.2062770971601414e-14,197.0
1.2124003311558781e-14,198.0
1.2185235651516149e-14,199.0
1.2246467991473516e-14,200.0
1.2307700331430884e-14,201.0
1.2368932671388252e-14,202.0
1.2430165011345619e-14,203.0
1.2491397351302987e-14,204.0
1.2552629691260354e-14,205.0
1.2613862031217722e-14,206.0
1.267509437117509e-14,207.0
1.2736326711132457e-14,208.0
1.2797559051089825e-14,209.0
1.2858791391047192e-14,210.0
1.292002373100456e-14,211.0
1.2981256070961927e-14,212.0
1.3042488410919295e-14,213.0
1.3103720750876662e-14,214.0
1.316495309083403e-14,215.0
1.3226185430791398e-14,216.0
1.3287417770748765e-14,217.0
1.3348650110706133e-14,218.0
1.34098824506635e-14,219.0
1.3471114790620868e-14,220.0
1.3532347130578235e-14,221.0
1.3593579470535603e-14,222.0
1.365481181049297e-14,223.0
1.3716044150450338e-14,224.0
1.3777276490407706e-14,225.0
1.3838508830365073e-14,226.0
1.3899741170322441e-14,227.0
1.3960973510279808e-14,228.0
1.4022205850237176e-14,229.0
1.4083438190194544e-14,230.0
1.4144670530151911e-14,231.0
1.4205902870109279e-14,232.0
1.4267135210066648e-14,233.0
1.4328367550024015e-14,234.0
1.4389599889981383e-14,235.0
1.445083222993875e-14,236.0
1.4512064569896118e-14,237.0
1.4573296909853486e-14,238.0
1.4634529249810853e-14,239.0
1.469576158976822e-14,240.0
1.475699392972559e-14,241.0
1.4818226269682956e-14,242.0
1.4879458609640324e-14,243.0
1.494069094959769e-14,244.0
1.500192328955506e-14,245.0
1.5063155629512426e-14,246.0
1.5124387969469794e-14,247.0
1.518562030942716e-14,248.0
1.524685264938453e-14,249.0
1.5308084989341897e-14,250.0
1.5369317329299264e-14,251.0
1.5430549669256632e-14,252.0
1.5491782009214e-14,253.0
1.5553014349171367e-14,254.0
1.5614246689128735e-14,255.0
1.5675479029086102e-14,256.0
1.573671136904347e-14,257.0
1.5797943709000837e-14,258.0
1.5859176048958205e-14,259.0
1.5920408388915572e-14,260.0
1.598164072887294e-14,261.0
1.6042873068830308e-14,262.0
1.6104105408787675e-14,263.0
1.6165337748745043e-14,264.0
1.622657008870241e-14,265.0
1.6287802428659778e-14,266.0
1.6349034768617145e-14,267.0
1.6410267108574513e-14,268.0
1.647149944853188e-14,269.0
1.6532731788489248e-14,270.0
1.6593964128446616e-14,271.0
1.6655196468403983e-14,272.0
1.671642880836135e-14,273.0
1.677766114831872e-14,274.0
1.6838893488276086e-14,275.0
1.6900125828233454e-14,276.0
1.696135816819082e-14,277.0
1.702259050814819e-14,278.0
1.7083822848105556e-14,279.0
-0.9428090415820461,279.94280904158205
-1.8856180831641094,280.8856180831641
-2.8284271247461725,281.82842712474616
-3.7712361663282357,282.7712361663282
-4.714045207910299,283.71404520791026
-5.656854249492363,284.6568542494923
-6.599663291074426,285.59966329107436
-7.54247233265649,286.5424723326564
-8.485281374238554,287.48528137423847
-9.428090415820616,288.4280904158205
-10.370899457402679,289.3708994574026
-11.313708498984742,290.3137084989846
-12.256517540566804,291.2565175405667
-13.199326582148867,292.19932658214873
-14.14213562373093,293.1421356237308
-15.084944665312992,294.08494466531283
-16.027753706895055,295.0277537068949
-16.970562748477118,295.97056274847694
-17.91337179005918,296.913371790059
-18.856180831641243,297.85618083164104
-19.798989873223306,298.7989898732231
-20.74179891480537,299.74179891480514
-21.68460795638743,300.6846079563872
-22.627416997969494,301.62741699796925
-23.570226039551557,302.5702260395513
-24.51303508113362,303.51303508113335
-25.455844122715682,304.4558441227154
-26.398653164297745,305.39865316429746
-27.341462205879807,306.3414622058795
-28.28427124746187,305.39865316429746
-29.227080289043933,306.3414622058795
-30.169889330625995,305.39865316429746
-31.112698372208058,306.3414622058795
-32.055507413790124,305.39865316429746
-32.99831645537219,306.3414622058795
-33.94112549695426,305.39865316429746
-34.88393453853632,306.3414622058795
-35.82674358011839,305.39865316429746
-36.769552621700456,306.3414622058795
-37.71236166328252,305.39865316429746
-38.65517070486459,306.3414622058795
-39.597979746446654,305.39865316429746
-40.54078878802872,306.3414622058795
-41.48359782961079,305.39865316429746
-42.42640687119285,306.3414622058795
-43.36921591277492,305.39865316429746
-44.312024954356986,306.3414622058795
-45.25483399593905,305.39865316429746
-46.19764303752112,306.3414622058795
-47.140452079103184,305.39865316429746
-48.08326112068525,306.3414622058795
-49.02607016226732,305.39865316429746
-49.96887920384938,306.3414622058795
